corpus_id	doi	source_authority	source_url	revision_or_sha256	license_observation	redistribution_policy	implementation_use	audit_date
T84	10.1002/we.2692	paper_dependency_model_lineage	https://github.com/byuflowlab/jensen3d	08c105334991617eea07f74a8118c9ff6e23c31c	setup_py_declares_Apache-2.0_no_standalone_LICENSE_found	reference_with_license_observation	Jensen_cosine_Katic_behavior_oracle	2026-08-01
T58	10.1002/we.1667	paper_cited_official_dtu_report	https://backend.orbit.dtu.dk/ws/portalfiles/portal/51814036/ris_r_1768.pdf	sha256:c0ef46d784f6874a6596647b13ebc194b377c9a29a3e5ad0a01eda885ca6ab0f	DTU_Orbit_general_rights_private_study_no_redistribution	do_not_redistribute_pdf	method_parameters_site_polygons_wind_arrays_and_result_anchor_oracle	2026-08-01
T58	10.1002/we.1667	paper_cited_official_dtu_model_report	https://backend.orbit.dtu.dk/ws/portalfiles/portal/122941920/Simple_analytical_wake_model_final_10.pdf	official_Risoe_R_1713_EN	DTU_Orbit_general_rights_private_study_no_redistribution	do_not_redistribute_pdf	stationary_Larsen_equation_oracle	2026-08-01
T58	10.1002/we.1667	same_author_platform_lineage	https://gitlab.windenergy.dtu.dk/TOPFARM/TopFarm2	b51adb483a186aaba073ce8c288395c789332bfe	current_docs_declare_MIT_no_standalone_license_observed_at_pinned_revision	reference_only	post_2018_lineage_and_architecture_reference_not_target_source	2026-08-01
T26	10.1016/j.apenergy.2025.125908	target_paper_data_availability_statement	https://doi.org/10.1016/j.apenergy.2025.125908	paper:sha256:96c3e1f7a737090d6428a68e56dc8fcfdf2e4d7169acec25e8c0657e97f8c36f	data_available_on_request_no_code_url	paper_only	formula_figure_parameter_and_result_anchor_oracle	2026-08-01
T26	10.1016/j.apenergy.2025.125908	cited_gtde_author_resource	https://zhanapollo.github.io/zhanzhh/resources.htm	sha256:ea0111564300c0078ff58b7c37c811b922d987d7df8397c69774162e74040025	public_webpage_says_email_application_for_GTDE_code	reference_only	public_availability_boundary_and_cited_predecessor_identity	2026-08-01
Y13	10.1109/tste.2025.3609006	target_paper_fulltext	local_private_primary_pdf	sha256:7f3e0fefd9467db259b5a221d1e2042b244813d6bd3eaa08ccc645d4769c4a2f	IEEE_personal_use_restrictions	do_not_redistribute_pdf	formula_case_parameter_and_result_anchor_oracle	2026-08-01
Y13	10.1109/tste.2025.3609006	paper_cited_public_accepted_manuscript	https://pure.royalholloway.ac.uk/ws/files/33855968/FINAL_VERSION_Siyu_I.pdf	public_institutional_accepted_manuscript	institutional_repository_reference_only	referenced_Frandsen_Gaussian_equation_oracle	2026-08-01
Y13	10.1109/tste.2025.3609006	paper_cited_resource_paper	https://doi.org/10.1109/TII.2025.3538067	no_machine_readable_resource_or_source_found	metadata_and_paper_reference_only	Danish_36_scenario_identity_and_public_availability_boundary	2026-08-01
L0649	10.1002/we.2954	paper_linked_author_source	https://github.com/locascio-m/flowers	dcb729f7ea4ab9307344e45c329b6f50796e861b	no_license_file_or_declaration_at_paper_revision	reference_only_no_redistribution	semantic_and_numerical_oracle_for_FLOWERS_WR7_gradient_and_native_problem	2026-08-01
L0649	10.1002/we.2954	current_author_source_conflict_check	https://github.com/locascio-m/flowers	749303c9cce6be3ae3c611da6d745fef65651a64	no_license_file_or_declaration_found	reference_only_no_redistribution	confirms_2026_fix_of_random_layout_y_dimension_from_N_plus_1_to_6	2026-08-01
L0649	10.1002/we.2954	official_open_fulltext	https://www.nrel.gov/docs/fy25osti/89684.pdf	official_NREL_publication_copy	open_access_paper_reference_only	formula_parameter_problem_protocol_and_claim_oracle	2026-08-01
L0805	10.1016/j.energy.2025.138820	public_arxiv_manuscript_source	https://arxiv.org/e-print/2502.11088	sha256:35cba7a5caf514416d09d0a5ed86ea5a6f11a0c899b6512a39f57cb11c751e33	CC_BY_NC_SA_4_0	reference_and_derived_facts_with_license_conditions	manuscript_tex_source_figures_formula_case_protocol_and_result_anchor_oracle_no_code_or_data	2026-07-31
L0805	10.1016/j.energy.2025.138820	target_final_fulltext	local_private_primary_pdf	sha256:eed96b6f8e1264a167fa2990e2c6a0437fcd29db762bbc1c5d3d0807c1113360	publisher_fulltext_restrictions	do_not_redistribute_pdf	final_formula_case_protocol_data_on_request_and_result_anchor_oracle	2026-07-31
L0805	10.1016/j.energy.2025.138820	bounded_author_code_search	paper_arxiv_github_and_author_pages	no_target_repository_found	not_applicable_no_asset	not_applicable	public_code_and_trained_asset_availability_boundary	2026-07-31
L0805	10.1016/j.energy.2025.138820	official_dakota_polynomial_documentation	https://snl-dakota.github.io/docs/6.19.0/users/usingdakota/reference/model-surrogate-global-polynomial.html	official_DAKOTA_documentation	official_public_documentation	reference_link_only	quadratic_term_count_and_minimum_sample_rank_oracle	2026-07-31
L0805	10.1016/j.energy.2025.138820	official_dakota_kriging_theory	https://snl-dakota.github.io/docs/6.18.0/users/usingdakota/theory/surrogates.html	official_DAKOTA_documentation	official_public_documentation	reference_link_only	kriging_configuration_and_uncertainty_boundary_oracle	2026-07-31
L0245	10.5194/wes-4-211-2019	paper_linked_official_data	https://doi.org/10.5281/zenodo.2667424	archive:sha256:747a642397b577cf45277e59f8365d973d3055db29f8851d2063c99967be1c29;fixture:sha256:3632751214850fd502da0c4d88550da7cf2a019fc18ff6e6e4130c9db754596e	CC_BY_4.0	registered_numeric_fixture_permitted	four_60_turbine_layouts_direction_distribution_and_boundary_inputs	2026-08-01
L0245	10.5194/wes-4-211-2019	paper_linked_author_precursor_source	https://github.com/pjstanle/OUUoptimizations	6944b6b65d9806ce28ac0686944386828ed1643f	no_license_file_or_declaration_found	reference_only_no_redistribution	semantic_parameter_lifecycle_and_problem_oracle_not_target_two_variable_source	2026-08-01
L0245	10.5194/wes-4-211-2019	licensed_wake_model_lineage	https://github.com/byuflowlab/PlantEnergy	000f68d85163c57fda4b501c8028f5d03db72d9e	Apache-2.0	reference_permitted	continuous_three_zone_FLORIS_equation_and_parameter_lineage	2026-08-01
T12	10.1016/j.renene.2018.03.052	target_paper_fulltext	local_private_primary_pdf	sha256:b5ca7e653598092defe0f91c6c48d0ca8c0832f097f0b389c289287a1d53ddd5	publisher_fulltext_restrictions	do_not_redistribute_pdf	formula_protocol_parameter_result_anchor_and_conflict_oracle	2026-08-01
T12	10.1016/j.renene.2018.03.052	paper_linked_public_source	https://github.com/d9w/WindFLO	9e85a67bb2ca019768ea51dd0b634a46c8406ba2	MIT	reuse_permitted_with_license	five_XML_scenarios_multilanguage_evaluator_and_competition_entry_semantic_oracle	2026-08-01
