algorithm_id	item_id	paper_title	paper_doi	paper_pdf_sha256	paper_section_equation_or_algorithm	paper_value_or_stage	matlab_file_and_lines	source_value_or_order	selected_semantics	selection_reason	provenance	known_conflict	unit_test_id	status	owner_decision_id
sugga	monte_carlo_boundary	Wind Farm Layout Optimization Based on Support Vector Regression Guided Genetic Algorithm with Consideration of Participation Among Landowners	10.1016/j.enconman.2019.06.082	5b6605a967143073a4da442c6aa50c873562e6c0f5037b822f38a1862a68782f	Section 3.4	10000 Monte Carlo samples train response surfaces	shared/models/sugga	Models are frozen before optimization	Exclude offline samples from online physical FES	Online comparison evaluates frozen models only	paper_and_frozen_asset	None	SUGGA_MODEL_HASH	resolved	
ise	control_parameters	An Improved Spherical Evolution with Enhanced Exploration Capabilities to Address Wind Farm Layout Optimization Problem	10.1016/j.engappai.2023.106198	7636d8aed3b5e16ed9512ff4cc1e48b00e38db478b7b1052808d407e8a680f47	Table 3	N=5; F=10; Dc=D/3	matlab/algorithms/ise/paper_derived/ISE_fode_e0_reference.m:13-18	N=5; F=10; round(D/3)	N=5; F=10; round(D/3)	Integerization is explicitly reconstructed before results	paper_derived_explicit_reconstruction	Paper omits integerization for nonmultiples of three	ISE_EQ17_COMPONENTS	resolved	OWNER-20260727-002
ise	spherical_update	An Improved Spherical Evolution with Enhanced Exploration Capabilities to Address Wind Farm Layout Optimization Problem	10.1016/j.engappai.2023.106198	7636d8aed3b5e16ed9512ff4cc1e48b00e38db478b7b1052808d407e8a680f47	Eq. 17 and Algorithm 1	Reduced-coordinate spherical direction	matlab/algorithms/ise/paper_derived/ISE_fode_e0_reference.m:42-67	Radius and direction use the same selected coordinates	Use a read-only parent snapshot and the same reduced coordinate set	Matches the literal equation	paper_derived	An older reconstruction used all D coordinates for radius	ISE_EQ17_RADIUS	resolved	OWNER-20260727-002
agpso	population_and_budget	An Adaptive Replacement Strategy Incorporated Particle Swarm Optimizer for Wind Farm Layout Optimization	10.1016/j.enconman.2022.116174	3d4551b28aaa912f82f0d13dd953e37c1e98589c8d6bb4f2735fae76b9f9722e	Section 4.1	Population 120; maximum 200 iterations	matlab/algorithms/agpso/source/main.m	Population 50; maximum 200 iterations	Population 120; exact common 24000 physical FES	The original paper controls the formal algorithm identity	paper_first_source_difference_registered	Archived driver uses 50	AGPSO_PARAMETER_CONTRACT	resolved	
agpso	velocity	An Adaptive Replacement Strategy Incorporated Particle Swarm Optimizer for Wind Farm Layout Optimization	10.1016/j.enconman.2022.116174	3d4551b28aaa912f82f0d13dd953e37c1e98589c8d6bb4f2735fae76b9f9722e	Eq. 21	v=c*r*(pbest-x); c=1.49618	matlab/algorithms/agpso/source/AGPSO.m:118-122	Archived adapter includes omega*v with omega=0.7298	Use Eq. 21 without inertia	The original paper explicitly deletes the inertia term	paper_first_source_difference_registered	Archived adapter retained GLPSO-style inertia	AGPSO_EQ21_NO_INERTIA	resolved	
agpso	stage_order	An Adaptive Replacement Strategy Incorporated Particle Swarm Optimizer for Wind Farm Layout Optimization	10.1016/j.enconman.2022.116174	3d4551b28aaa912f82f0d13dd953e37c1e98589c8d6bb4f2735fae76b9f9722e	Algorithm 1 lines 11-44	Generate all elites; replacement; velocity-position update; evaluate and update bests	matlab/algorithms/agpso/source/AGPSO.m:54-170	Archived adapter immediately writes within particle loop	paper_staged_parallel with barriers	The pseudocode defines synchronous phases and permits intra-stage particle parallelism	paper_first_source_difference_registered	MATLAB loop is asynchronous	AGPSO_STAGE_BARRIER	resolved	
agpso	population_survival	An Adaptive Replacement Strategy Incorporated Particle Swarm Optimizer for Wind Farm Layout Optimization	10.1016/j.enconman.2022.116174	3d4551b28aaa912f82f0d13dd953e37c1e98589c8d6bb4f2735fae76b9f9722e	Algorithm 1 lines 40-43	Retain X-prime only when f(X-prime) is better than f(X)	matlab/algorithms/agpso/source/AGPSO.m:118-143	Archived adapter always advances X to the velocity-updated candidate	Compare each evaluated candidate with its generation-entry position and retain the better layout	This is the closest executable paper-first rule without adding an unreported evaluation after adaptive replacement	paper_first_source_difference_registered	The archived source omits the conditional survival step	AGPSO_POPULATION_SURVIVAL	resolved	D3-A
agpso	stagnation_tournament	An Adaptive Replacement Strategy Incorporated Particle Swarm Optimizer for Wind Farm Layout Optimization	10.1016/j.enconman.2022.116174	3d4551b28aaa912f82f0d13dd953e37c1e98589c8d6bb4f2735fae76b9f9722e	Eq. 16 and Algorithm 1	s=7; tournament size 20%M; pm=0.01	matlab/algorithms/agpso/source/AGPSO.m:49-52,108-116	Same numeric controls	Use paper values with deterministic tournament merge	Paper/source agree on controls	paper_and_source	None	AGPSO_TOURNAMENT	resolved	
cgpso	stage_order	A Chaotic Local Search-Based Particle Swarm Optimizer for Large-Scale Complex Wind Farm Layout Optimization	10.1109/JAS.2023.123387	3cb545aede5682f21d892735c6d6ce052251503767ea29efb24d7176c1486726	Algorithm 1 lines 11-20	All exemplars; all positions; population evaluation; best updates	matlab/algorithms/cgpso/source/CGPSO.m	Archived loop performs immediate particle updates	paper_staged_parallel with barriers	Pseudocode explicitly defines population-wide stages	paper_first_source_difference_registered	MATLAB loop is asynchronous	CGPSO_STAGE_BARRIER	resolved	
cgpso	chaotic_local_search	A Chaotic Local Search-Based Particle Swarm Optimizer for Large-Scale Complex Wind Farm Layout Optimization	10.1109/JAS.2023.123387	3cb545aede5682f21d892735c6d6ce052251503767ea29efb24d7176c1486726	Eqs. 16-20; Tables I II X XI	CLS-M success/failure memory with L=25; SS-1D; lambda=0.01*(1-t/T)	matlab/algorithms/cgpso/source/GenerateChaos.m; Chaotic_selection.m; main.m	Archived main selects Strategy 3 success-only memory and pBest-difference radius	Use paper CLS-M, SS-1D and shrinking radius; use archived map expressions only where they instantiate Table I	The paper explicitly identifies CLS-M and SS-1D as CGPSO and reports their parameters	paper_first_source_difference_registered	Archived Strategy 3 is an ablation branch rather than the paper-defined final method	CGPSO_CLSM_MEMORY	resolved	D3-A
lshade	parameter_memory	Success-History Based Parameter Adaptation for Differential Evolution	10.1109/CEC.2013.6557555	ed59dedd7656dda1e494bfb822fa5a54009637385bf470797ea6fc6e9761b549	Algorithm 1 and Eqs. 15-20	Success-history MCR and MF with weighted Lehmer means	matlab/algorithms/lshade/source/LSHADE.m	Memory H=5; Cauchy F; Gaussian CR	Use SHADE success-history formulas and deterministic successful-trial merge	Foundation paper defines the mechanism	paper_first_source_completed	None	LSHADE_MEMORY_UPDATE	resolved	
lshade	cr_terminal_memory	Improving the Search Performance of SHADE Using Linear Population Size Reduction	10.1109/CEC.2014.6900380	76a5f8e627530e4fa24a692063aae00904ba767b541a294dc4e5a691e6ad3364	Algorithm 2 parameter-memory continuation	MCR=-1 produces CR=0 and remains terminal	matlab/algorithms/lshade/source/LSHADE.m:45-52,107-110	Exact -1 sentinel in sampling and successful-memory update	Retain the terminal crossover-memory state exactly	The archived implementation makes the paper mechanism executable	paper_first_source_completed	A clipped Gaussian centered at -1 is not equivalent	LSHADE_CR_SENTINEL	resolved	
lshade	population_reduction	Improving the Search Performance of SHADE Using Linear Population Size Reduction	10.1109/CEC.2014.6900380	76a5f8e627530e4fa24a692063aae00904ba767b541a294dc4e5a691e6ad3364	Algorithm 2 and Eq. 10	Ninit=18D; Nmin=4; linear reduction	matlab/algorithms/lshade/source/LSHADE.m	Ninit=18D; Nmin=4	Reduce after completed batch using exact physical FES fraction	Paper/source agreement	paper_and_source	None	LSHADE_LINEAR_REDUCTION	resolved	
lshade	mutation_and_archive	Improving the Search Performance of SHADE Using Linear Population Size Reduction	10.1109/CEC.2014.6900380	76a5f8e627530e4fa24a692063aae00904ba767b541a294dc4e5a691e6ad3364	Algorithm 2	current-to-pbest/1 with archive	matlab/algorithms/lshade/source/LSHADE.m	p=0.11; archive rate=1.4; stable repair	Use independent trial construction followed by ordered archive merge	Matches method and enables semantic-safe parallelism	paper_first_source_completed	None	LSHADE_ARCHIVE	resolved	
clshade	core	A Chaotic Local Search-Based LSHADE with Enhanced Memory Storage Mechanism for Wind Farm Layout Optimization	10.1016/j.asoc.2023.110306	7ba8d957399a42f536598dabc548f496f2ae37be1fe21f573476850a9e729d8d	Algorithm 1 and Eqs. 11-18	L-SHADE generation plus enhanced memory	matlab/algorithms/clshade/paper_derived/CLSHADE_fode_e0_reference.m:49-118	Paper-derived batch DE and deterministic memory update	Use registered paper-derived state machine	No author code was published	paper_derived_explicit_reconstruction	No public source	CLSHADE_CORE_TRACE	resolved	
clshade	chaotic_maps	A Chaotic Local Search-Based LSHADE with Enhanced Memory Storage Mechanism for Wind Farm Layout Optimization	10.1016/j.asoc.2023.110306	7ba8d957399a42f536598dabc548f496f2ae37be1fe21f573476850a9e729d8d	Table 4	Twelve listed chaotic equations	matlab/benchmark/support/openwflop_generate_chaos.m	Twelve literal equations	Use Table 4 equations, distinct from CGPSO archived maps	Direct paper implementation	paper_derived	Archived CGPSO maps are not interchangeable	CLSHADE_TABLE4_MAPS	resolved	D3-A
clshade	map_selection_memory	A Chaotic Local Search-Based LSHADE with Enhanced Memory Storage Mechanism for Wind Farm Layout Optimization	10.1016/j.asoc.2023.110306	7ba8d957399a42f536598dabc548f496f2ae37be1fe21f573476850a9e729d8d	Eqs. 26-29 and Table 10	L=50 success/failure magnitude memory and normalized adaptive map probabilities	matlab/algorithms/clshade/paper_derived/CLSHADE_fode_e0_reference.m:23-31,119-170	Two 50-by-12 circular memories; score equals success over success plus failure plus 0.01	Use the literal paper-derived memory and probability update after every evaluated CLS candidate	This mechanism is part of the method name and cannot be replaced by cumulative success-only scores	paper_derived	No public author source	CLSHADE_MAP_MEMORY	resolved	D3-A
clshade	radius	A Chaotic Local Search-Based LSHADE with Enhanced Memory Storage Mechanism for Wind Farm Layout Optimization	10.1016/j.asoc.2023.110306	7ba8d957399a42f536598dabc548f496f2ae37be1fe21f573476850a9e729d8d	Eqs. 19-21 and Table 10	r in (0,1); gamma0=0.988	matlab/algorithms/clshade/paper_derived/CLSHADE_fode_e0_reference.m:40-41,143-151	r0=0.01; gamma0=0.988	Use pre-registered r0=0.01 and disclose it as reconstructed	The paper omits the initial radius	paper_derived_explicit_reconstruction	Initial r is undocumented	CLSHADE_RADIUS	resolved	OWNER-20260727-001
all	terminal_partial	A State-of-the-Art Fractional Order-Driven Differential Evolution for Wind Farm Layout Optimization	10.3390/math13020282	aa8ceb7febbf6730da8f048514e692dc5bab6edb9c9cfba4496cc24c1786c661	Comparison maximum FES	Common completed work	matlab/main/run_case.m	Adapters expose heterogeneous legacy counters	Retain completed candidates and stop at exactly 24000 complete layout evaluations	Fair common work requires physical evaluator accounting	previously_adjudicated	Legacy counters differ	EXACT_PHYSICAL_FES	resolved	OWNER-20260727-OPTION-A
